,date,state,fips,cases,deaths,usa_state,usa_state_code
0,2020-01-21,Washington,53,1,0,Washington,WA
1,2020-01-22,Washington,53,1,0,Washington,WA
2,2020-01-23,Washington,53,1,0,Washington,WA
3,2020-01-24,Washington,53,1,0,Washington,WA
4,2020-01-25,Washington,53,1,0,Washington,WA
5,2020-01-26,Washington,53,1,0,Washington,WA
6,2020-01-27,Washington,53,1,0,Washington,WA
7,2020-01-28,Washington,53,1,0,Washington,WA
8,2020-01-29,Washington,53,1,0,Washington,WA
9,2020-01-30,Washington,53,1,0,Washington,WA
10,2020-01-31,Washington,53,1,0,Washington,WA
11,2020-02-01,Washington,53,1,0,Washington,WA
12,2020-02-02,Washington,53,1,0,Washington,WA
13,2020-02-03,Washington,53,1,0,Washington,WA
14,2020-02-04,Washington,53,1,0,Washington,WA
15,2020-02-05,Washington,53,1,0,Washington,WA
16,2020-02-06,Washington,53,1,0,Washington,WA
17,2020-02-07,Washington,53,1,0,Washington,WA
18,2020-02-08,Washington,53,1,0,Washington,WA
19,2020-02-09,Washington,53,1,0,Washington,WA
20,2020-02-10,Washington,53,1,0,Washington,WA
21,2020-02-11,Washington,53,1,0,Washington,WA
22,2020-02-12,Washington,53,1,0,Washington,WA
23,2020-02-13,Washington,53,1,0,Washington,WA
24,2020-02-14,Washington,53,1,0,Washington,WA
25,2020-02-15,Washington,53,1,0,Washington,WA
26,2020-02-16,Washington,53,1,0,Washington,WA
27,2020-02-17,Washington,53,1,0,Washington,WA
28,2020-02-18,Washington,53,1,0,Washington,WA
29,2020-02-19,Washington,53,1,0,Washington,WA
30,2020-02-20,Washington,53,1,0,Washington,WA
31,2020-02-21,Washington,53,1,0,Washington,WA
32,2020-02-22,Washington,53,1,0,Washington,WA
33,2020-02-23,Washington,53,1,0,Washington,WA
34,2020-02-24,Washington,53,5,0,Washington,WA
35,2020-02-25,Washington,53,5,0,Washington,WA
36,2020-02-26,Washington,53,5,0,Washington,WA
37,2020-02-27,Washington,53,5,0,Washington,WA
38,2020-02-28,Washington,53,7,0,Washington,WA
39,2020-02-29,Washington,53,10,1,Washington,WA
40,2020-03-01,Washington,53,17,3,Washington,WA
41,2020-03-02,Washington,53,23,6,Washington,WA
42,2020-03-03,Washington,53,32,10,Washington,WA
43,2020-03-04,Washington,53,47,11,Washington,WA
44,2020-03-05,Washington,53,75,11,Washington,WA
45,2020-03-06,Washington,53,86,12,Washington,WA
46,2020-03-07,Washington,53,110,16,Washington,WA
47,2020-03-08,Washington,53,141,19,Washington,WA
48,2020-03-09,Washington,53,179,22,Washington,WA
49,2020-03-10,Washington,53,279,24,Washington,WA
50,2020-03-11,Washington,53,338,29,Washington,WA
51,2020-03-12,Washington,53,419,32,Washington,WA
52,2020-03-13,Washington,53,511,37,Washington,WA
53,2020-03-14,Washington,53,609,40,Washington,WA
54,2020-03-15,Washington,53,675,42,Washington,WA
55,2020-03-16,Washington,53,794,48,Washington,WA
56,2020-03-17,Washington,53,908,54,Washington,WA
57,2020-03-18,Washington,53,1026,68,Washington,WA
58,2020-03-19,Washington,53,1228,75,Washington,WA
59,2020-03-20,Washington,53,1404,83,Washington,WA
60,2020-03-21,Washington,53,1655,95,Washington,WA
61,2020-03-22,Washington,53,1844,97,Washington,WA
62,2020-03-23,Washington,53,2101,110,Washington,WA
63,2020-03-24,Washington,53,2469,123,Washington,WA
64,2020-03-25,Washington,53,2585,130,Washington,WA
65,2020-03-26,Washington,53,3208,152,Washington,WA
66,2020-03-27,Washington,53,3770,179,Washington,WA
67,2020-03-28,Washington,53,4311,193,Washington,WA
68,2020-03-29,Washington,53,4897,209,Washington,WA
69,2020-03-30,Washington,53,5180,221,Washington,WA
70,2020-03-31,Washington,53,5293,226,Washington,WA
71,2020-04-01,Washington,53,5589,250,Washington,WA
72,2020-04-02,Washington,53,6586,272,Washington,WA
73,2020-04-03,Washington,53,6967,293,Washington,WA
74,2020-04-04,Washington,53,7499,318,Washington,WA
75,2020-04-05,Washington,53,7985,344,Washington,WA
76,2020-04-06,Washington,53,8385,383,Washington,WA
77,2020-04-07,Washington,53,8683,409,Washington,WA
78,2020-04-08,Washington,53,9098,430,Washington,WA
79,2020-04-09,Washington,53,9609,456,Washington,WA
80,2020-04-10,Washington,53,9888,483,Washington,WA
81,2020-04-11,Washington,53,10227,498,Washington,WA
82,2020-04-12,Washington,53,10414,511,Washington,WA
83,2020-04-13,Washington,53,10547,525,Washington,WA
84,2020-04-14,Washington,53,10711,552,Washington,WA
85,2020-04-15,Washington,53,10806,572,Washington,WA
86,2020-04-16,Washington,53,11180,588,Washington,WA
87,2020-04-17,Washington,53,11479,610,Washington,WA
88,2020-04-18,Washington,53,11850,629,Washington,WA
89,2020-04-19,Washington,53,11864,637,Washington,WA
90,2020-04-20,Washington,53,12255,661,Washington,WA
91,2020-04-21,Washington,53,12410,683,Washington,WA
92,2020-04-22,Washington,53,12606,696,Washington,WA
93,2020-04-23,Washington,53,12981,717,Washington,WA
94,2020-04-24,Washington,53,13197,731,Washington,WA
95,2020-04-25,Washington,53,13565,743,Washington,WA
96,2020-04-26,Washington,53,13744,757,Washington,WA
97,2020-04-27,Washington,53,13958,771,Washington,WA
98,2020-04-28,Washington,53,14165,792,Washington,WA
99,2020-04-29,Washington,53,14490,805,Washington,WA
100,2020-04-30,Washington,53,14814,822,Washington,WA
101,2020-05-01,Washington,53,15134,829,Washington,WA
102,2020-05-02,Washington,53,15383,833,Washington,WA
103,2020-05-03,Washington,53,15943,840,Washington,WA
104,2020-05-04,Washington,53,16047,846,Washington,WA
105,2020-05-05,Washington,53,16234,863,Washington,WA
106,2020-05-06,Washington,53,16873,881,Washington,WA
107,2020-05-07,Washington,53,17187,903,Washington,WA
108,2020-05-08,Washington,53,17477,915,Washington,WA
109,2020-05-09,Washington,53,17629,925,Washington,WA
110,2020-05-10,Washington,53,17781,939,Washington,WA
111,2020-05-11,Washington,53,18172,957,Washington,WA
112,2020-05-12,Washington,53,18382,972,Washington,WA
113,2020-05-13,Washington,53,18492,977,Washington,WA
114,2020-05-14,Washington,53,18861,991,Washington,WA
115,2020-05-15,Washington,53,19131,1008,Washington,WA
116,2020-05-16,Washington,53,19336,1015,Washington,WA
117,2020-05-17,Washington,53,19514,1016,Washington,WA
118,2020-05-18,Washington,53,19756,1020,Washington,WA
119,2020-05-19,Washington,53,19988,1042,Washington,WA
120,2020-05-20,Washington,53,20110,1045,Washington,WA
121,2020-05-21,Washington,53,20280,1054,Washington,WA
122,2020-05-22,Washington,53,20526,1061,Washington,WA
123,2020-05-23,Washington,53,20740,1062,Washington,WA
124,2020-05-24,Washington,53,20989,1069,Washington,WA
125,2020-05-25,Washington,53,21265,1076,Washington,WA
126,2020-05-26,Washington,53,21538,1091,Washington,WA
127,2020-05-27,Washington,53,21825,1106,Washington,WA
128,2020-05-28,Washington,53,22091,1116,Washington,WA
129,2020-05-29,Washington,53,22377,1120,Washington,WA
130,2020-05-30,Washington,53,22618,1126,Washington,WA
131,2020-05-31,Washington,53,22814,1126,Washington,WA
132,2020-06-01,Washington,53,23272,1133,Washington,WA
133,2020-06-02,Washington,53,23608,1139,Washington,WA
134,2020-06-03,Washington,53,23776,1145,Washington,WA
135,2020-06-04,Washington,53,23999,1150,Washington,WA
