,date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred,date_modified,usa_state,usa_state_code
16159,2022-02-19,Puerto Rico,6820071.0,7264190.0,3028205.0,80.84,213.55,2581754.0,94.82,227.45,54.0,10408.0,3259.0,0.939,1289578.0,40.38,2022-02-19,Puerto Rico,PR
16563,2022-02-19,Rhode Island,2120494.0,2484625.0,1016090.0,80.33,200.17,850948.0,95.92,234.54,1730.0,2131.0,2012.0,0.853,433591.0,40.93,2022-02-19,Rhode Island,RI
18987,2022-02-19,Vermont,1341480.0,1689750.0,578725.0,80.0,214.98,499195.0,92.75,270.8,889.0,906.0,1452.0,0.794,290407.0,46.54,2022-02-19,Vermont,VT
8079,2022-02-19,Maine,2694083.0,3175550.0,1198247.0,78.22,200.42,1051490.0,89.14,236.24,1895.0,1977.0,1471.0,0.848,560897.0,41.73,2022-02-19,Maine,ME
2827,2022-02-19,Connecticut,7249762.0,8265235.0,3337878.0,77.54,203.34,2764670.0,93.62,231.83,5514.0,6349.0,1781.0,0.877,1350791.0,37.89,2022-02-19,Connecticut,CT
8887,2022-02-19,Massachusetts,14191945.0,16095890.0,6629739.0,77.42,205.9,5336437.0,96.19,233.53,14531.0,12920.0,1875.0,0.882,2612718.0,37.91,2022-02-19,Massachusetts,MA
4847,2022-02-19,Hawaii,2789550.0,3308180.0,1217519.0,76.94,197.02,1089305.0,85.99,233.65,2700.0,4927.0,3480.0,0.843,532777.0,37.63,2022-02-19,Hawaii,HI
13331,2022-02-19,New York,37573510.0,43700145.0,17235231.0,75.22,193.14,14632320.0,88.6,224.64,59901.0,44539.0,2290.0,0.86,6303525.0,32.4,2022-02-19,New York,NY
12523,2022-02-19,New Jersey,16438280.0,20831835.0,7873976.0,73.95,185.07,6568615.0,88.65,234.53,19035.0,16481.0,1856.0,0.789,2909139.0,32.75,2022-02-19,New Jersey,NJ
8483,2022-02-19,Maryland,11440813.0,14931710.0,5114684.0,73.73,189.24,4457347.0,84.6,246.98,10120.0,14066.0,2327.0,0.766,2146138.0,35.5,2022-02-19,Maryland,MD
19391,2022-02-19,Virginia,15801583.0,18653105.0,7191538.0,71.73,185.13,6122124.0,84.25,218.54,9861.0,31033.0,3636.0,0.847,2770876.0,32.46,2022-02-19,Virginia,VA
19795,2022-02-19,Washington,13768068.0,16755495.0,6055165.0,71.17,180.8,5419707.0,79.52,220.04,12124.0,21810.0,2864.0,0.822,2676649.0,35.15,2022-02-19,Washington,WA
3635,2022-02-19,District of Columbia,1407104.0,1762305.0,668652.0,71.12,199.38,501905.0,94.74,249.71,1432.0,2350.0,3330.0,0.798,171938.0,24.36,2022-02-19,District of Columbia,DC
2019,2022-02-19,California,71044784.0,85497625.0,32212960.0,70.13,179.8,27708341.0,81.53,216.38,92531.0,94936.0,2403.0,0.831,13144245.0,33.27,2022-02-19,California,CA
12119,2022-02-19,New Hampshire,2616383.0,3256030.0,1461108.0,69.64,192.42,946944.0,107.46,239.46,679.0,2814.0,2070.0,0.804,196452.0,14.45,2022-02-19,New Hampshire,NH
12927,2022-02-19,New Mexico,3742875.0,4227345.0,1795147.0,69.34,178.5,1454046.0,85.61,201.61,3041.0,5248.0,2503.0,0.885,689989.0,32.91,2022-02-19,New Mexico,NM
2423,2022-02-19,Colorado,10271794.0,11800575.0,4501160.0,69.02,178.37,3974464.0,78.16,204.92,8880.0,14485.0,2515.0,0.87,1967941.0,34.17,2022-02-19,Colorado,CO
15351,2022-02-19,Oregon,7407757.0,9486185.0,3238459.0,68.49,175.63,2888724.0,76.78,224.91,7218.0,6366.0,1509.0,0.781,1466741.0,34.78,2022-02-19,Oregon,OR
9695,2022-02-19,Minnesota,9853584.0,11914970.0,4183752.0,67.92,174.72,3830382.0,74.18,211.27,8122.0,7368.0,1306.0,0.827,2125396.0,37.69,2022-02-19,Minnesota,MN
3231,2022-02-19,Delaware,1723629.0,2211055.0,793346.0,67.28,177.01,655127.0,81.47,227.06,1805.0,2006.0,2060.0,0.78,284502.0,29.22,2022-02-19,Delaware,DE
5655,2022-02-19,Illinois,21636884.0,25990855.0,9600247.0,67.1,170.75,8503109.0,75.76,205.11,30022.0,21943.0,1732.0,0.832,4145800.0,32.72,2022-02-19,Illinois,IL
15755,2022-02-19,Pennsylvania,21965985.0,28672425.0,10626942.0,66.67,171.58,8535603.0,83.01,223.97,15737.0,15117.0,1181.0,0.766,3483781.0,27.21,2022-02-19,Pennsylvania,PA
