,Total population,Sex ratio (males per 100 females),18 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,Per capita income (dollars),With health insurance coverage
Alabama,5.0399,94.3,0.7778,0.1758,0.6959,0.2734,0.021,0.0192,0.4591,0.006,0.8815
Alaska,0.7327,109.6,0.7551,0.1343,0.7126,0.0527,0.2073,0.0899,0.4475,0.0536,0.8503
Arizona,7.2763,99.5,0.7781,0.1833,0.7759,0.063,0.0602,0.0481,0.4314,0.0048,0.8566
Arkansas,3.0259,97.5,0.7674,0.1736,0.795,0.1616,0.0276,0.0223,0.4563,0.0097,0.8919
California,39.2378,100.0,0.7765,0.152,0.5714,0.0726,0.0332,0.1777,0.3699,0.0011,0.9212
Colorado,5.8121,102.6,0.7863,0.1514,0.8481,0.0568,0.0334,0.0476,0.4372,0.0074,0.8923
Connecticut,3.6056,96.2,0.7983,0.18,0.7571,0.1382,0.015,0.0583,0.4261,0.0133,0.9348
Delaware,1.0034,93.9,0.7922,0.2009,0.6886,0.2426,0.0235,0.0506,0.4564,0.0388,0.9067
District of Columbia,0.67,90.9,0.8124,0.1278,0.4579,0.4705,0.0153,0.0581,0.5335,0.0952,0.9714
Florida,21.7811,96.8,0.8031,0.2111,0.7412,0.1767,0.0143,0.0378,0.4616,0.0016,0.8434
Georgia,10.7996,95.3,0.7665,0.1468,0.5951,0.3341,0.0237,0.0526,0.4144,0.0032,0.8396
Hawaii,1.4416,101.3,0.789,0.196,0.4286,0.0366,0.0284,0.5649,0.3919,0.0271,0.929
Idaho,1.9009,100.8,0.7528,0.1652,0.905,0.0129,0.0322,0.0255,0.4079,0.0166,0.8457
Illinois,12.6715,97.8,0.779,0.166,0.7178,0.1522,0.0208,0.0677,0.4293,0.0031,0.9282
Indiana,6.806,98.4,0.7671,0.1639,0.8502,0.1075,0.0195,0.0302,0.4335,0.0048,0.9
Iowa,3.1931,100.8,0.7692,0.1778,0.909,0.0511,0.0175,0.031,0.4466,0.0109,0.9351
